Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.26816797256	0	21.9912280702	11.0497246247	73.0	9.0	21.9912280702	11.0497246247	5014	5014
8.87950110435	1	20.8049792531	10.9570708948	88.0	9.0	20.8049792531	10.9570708948	5014	10028
12.3187100887	2	17.6866197183	7.28569627859	49.0	8.0	17.6866197183	7.28569627859	5023	15051
15.829087019	3	18.3503649635	8.48837009526	68.0	8.0	18.3503649635	8.48837009526	5028	20079
19.2810571194	4	18.671641791	9.16863254131	71.0	8.0	18.671641791	9.16863254131	5004	25083
22.6976499557	5	18.8984962406	8.89120952184	57.0	8.0	18.8984962406	8.89120952184	5027	30110
26.1783261299	6	19.3513513514	10.9676651864	81.0	9.0	19.3513513514	10.9676651864	5012	35122
29.7331459522	7	18.5296296296	9.54778682188	68.0	8.0	18.5296296296	9.54778682188	5003	40125
33.2444109917	8	19.8849206349	9.36551905747	58.0	8.0	19.8849206349	9.36551905747	5011	45136
36.9151411057	9	19.8577075099	9.87568529075	83.0	8.0	19.8577075099	9.87568529075	5024	50160
41.0542120934	10	20.4408163265	11.8848886796	96.0	9.0	20.4408163265	11.8848886796	5008	55168
44.5799701214	11	21.8558951965	11.3334232566	69.0	8.0	21.8558951965	11.3334232566	5005	60173
48.1410191059	12	24.3106796117	14.4444225311	99.0	9.0	24.3106796117	14.4444225311	5008	65181
51.7710580826	13	25.7743589744	14.9289036118	103.0	9.0	25.7743589744	14.9289036118	5026	70207
55.3908469677	14	23.8428571429	12.1026982992	78.0	9.0	23.8428571429	12.1026982992	5007	75214
59.0943541527	15	26.871657754	14.0820589362	93.0	10.0	26.871657754	14.0820589362	5025	80239
62.6124939919	16	27.9664804469	16.018111063	91.0	8.0	27.9664804469	16.018111063	5006	85245
66.1053199768	17	31.049382716	16.0669135025	87.0	10.0	31.049382716	16.0669135025	5030	90275
69.6702520847	18	29.4235294118	17.0789698481	106.0	10.0	29.4235294118	17.0789698481	5002	95277
73.2989969254	19	31.534591195	16.6619288389	93.0	10.0	31.534591195	16.6619288389	5014	100291
78.6729140282	20	37.0882352941	22.4628682458	127.0	8.0	37.0882352941	22.4628682458	5044	105335
82.2269430161	21	34.4896551724	21.6874720682	151.0	9.0	34.4896551724	21.6874720682	5001	110336
85.924134016	22	37.6641791045	21.6039465818	165.0	10.0	37.6641791045	21.6039465818	5047	115383
89.5370590687	23	39.265625	19.6331529144	116.0	10.0	39.265625	19.6331529144	5026	120409
93.2887201309	24	40.216	22.9321029127	128.0	11.0	40.216	22.9321029127	5027	125436
96.5611901283	25	41.0573770492	20.4972205954	103.0	12.0	41.0573770492	20.4972205954	5009	130445
100.262592077	26	41.2213114754	21.4939992751	114.0	11.0	41.2213114754	21.4939992751	5029	135474
103.82604003	27	46.0733944954	29.500958287	186.0	11.0	46.0733944954	29.500958287	5022	140496
107.457000017	28	50.5454545455	25.4237909448	122.0	11.0	50.5454545455	25.4237909448	5004	145500
110.930186987	29	49.0588235294	24.4286971751	138.0	13.0	49.0588235294	24.4286971751	5004	150504
119.174226999	30	55.3186813187	29.7505671276	171.0	15.0	55.3186813187	29.7505671276	5034	155538
122.836440086	31	54.956043956	28.2286239609	163.0	13.0	54.956043956	28.2286239609	5001	160539
126.523942947	32	54.8804347826	27.8235286698	156.0	15.0	54.8804347826	27.8235286698	5049	165588
130.353863001	33	57.6781609195	27.6798172262	133.0	14.0	57.6781609195	27.6798172262	5018	170606
133.875808954	34	54.9782608696	25.8461073769	157.0	10.0	54.9782608696	25.8461073769	5058	175664
137.362381935	35	62.8375	30.4718902228	200.0	9.0	62.8375	30.4718902228	5027	180691
141.014600992	36	67.2266666667	31.7740243316	157.0	20.0	67.2266666667	31.7740243316	5042	185733
144.365401983	37	61.0963855422	28.194938646	156.0	19.0	61.0963855422	28.194938646	5071	190804
148.115466118	38	73.6764705882	38.0867589993	198.0	22.0	73.6764705882	38.0867589993	5010	195814
151.560189009	39	64.7307692308	24.5751975639	137.0	28.0	64.7307692308	24.5751975639	5049	200863
158.49298501	40	73.1304347826	37.8654800705	200.0	13.0	73.1304347826	37.8654800705	5046	205909
162.325645924	41	76.4393939394	31.2216556488	169.0	19.0	76.4393939394	31.2216556488	5045	210954
165.748777151	42	91.0545454545	42.6531116554	192.0	15.0	91.0545454545	42.6531116554	5008	215962
169.408055067	43	90.2321428571	41.5558965523	200.0	14.0	90.2321428571	41.5558965523	5053	221015
172.773428917	44	100.84	43.7169806826	200.0	22.0	100.84	43.7169806826	5042	226057
176.189551115	45	100.42	45.0235893727	192.0	24.0	100.42	45.0235893727	5021	231078
179.806481123	46	119.119047619	45.7998764715	200.0	39.0	119.119047619	45.7998764715	5003	236081
183.189173937	47	121.666666667	48.6350190641	200.0	39.0	121.666666667	48.6350190641	5110	241191
186.626106977	48	148.823529412	47.7385468791	200.0	47.0	148.823529412	47.7385468791	5060	246251
190.110707998	49	142.5	43.006136513	200.0	55.0	142.5	43.006136513	5130	251381
204.664935112	50	151.939393939	50.7136580694	200.0	25.0	151.939393939	50.7136580694	5014	256395
208.223855972	51	163.193548387	48.585421519	200.0	27.0	163.193548387	48.585421519	5059	261454
211.82119894	52	140.638888889	52.8620598969	200.0	18.0	140.638888889	52.8620598969	5063	266517
215.215558052	53	149.264705882	42.0506059434	200.0	45.0	149.264705882	42.0506059434	5075	271592
218.769483089	54	151.545454545	51.6462858585	200.0	45.0	151.545454545	51.6462858585	5001	276593
222.114884138	55	172.833333333	39.0043444874	200.0	83.0	172.833333333	39.0043444874	5185	281778
225.499406099	56	163.0	42.3228756874	200.0	70.0	163.0	42.3228756874	5053	286831
229.077167988	57	173.75862069	38.7597864593	200.0	68.0	173.75862069	38.7597864593	5039	291870
232.500694036	58	181.5	32.5735431644	200.0	99.0	181.5	32.5735431644	5082	296952
235.966906071	59	178.0	41.4321214718	200.0	42.0	178.0	41.4321214718	5162	302114
248.366549015	60	180.892857143	23.3074777788	200.0	132.0	180.892857143	23.3074777788	5065	307179
252.035867929	61	180.25	30.1219248579	200.0	59.0	180.25	30.1219248579	5047	312226
255.967003107	62	185.814814815	25.8915645308	200.0	118.0	185.814814815	25.8915645308	5017	317243
259.724308968	63	186.592592593	29.1220411109	200.0	68.0	186.592592593	29.1220411109	5038	322281
263.069630146	64	185.851851852	24.9513655883	200.0	113.0	185.851851852	24.9513655883	5018	327299
266.771435022	65	188.481481481	23.5503721294	200.0	112.0	188.481481481	23.5503721294	5089	332388
271.061980963	66	187.740740741	20.0547262234	200.0	133.0	187.740740741	20.0547262234	5069	337457
274.60641408	67	183.321428571	25.0842203834	200.0	128.0	183.321428571	25.0842203834	5133	342590
278.193447113	68	192.461538462	16.258088565	200.0	137.0	192.461538462	16.258088565	5004	347594
281.834100962	69	192.846153846	17.8986297449	200.0	134.0	192.846153846	17.8986297449	5014	352608
298.01494503	70	189.703703704	19.9124283074	200.0	125.0	189.703703704	19.9124283074	5122	357730
302.096148968	71	189.333333333	22.6355996247	200.0	108.0	189.333333333	22.6355996247	5112	362842
305.810595036	72	194.807692308	12.2632008332	200.0	149.0	194.807692308	12.2632008332	5065	367907
309.428678036	73	195.769230769	9.89291779432	200.0	160.0	195.769230769	9.89291779432	5090	372997
312.73633194	74	197.461538462	7.89951687535	200.0	165.0	197.461538462	7.89951687535	5134	378131
316.177515984	75	187.296296296	20.0514427574	200.0	144.0	187.296296296	20.0514427574	5057	383188
319.539199114	76	194.153846154	17.114304201	200.0	134.0	194.153846154	17.114304201	5048	388236
323.414319992	77	191.814814815	20.6326548749	200.0	129.0	191.814814815	20.6326548749	5179	393415
326.930743933	78	194.461538462	11.6395571196	200.0	152.0	194.461538462	11.6395571196	5056	398471
330.315707922	79	186.592592593	26.4704716818	200.0	85.0	186.592592593	26.4704716818	5038	403509
344.703896046	80	195.461538462	12.6589304726	200.0	155.0	195.461538462	12.6589304726	5082	408591
348.302999973	81	199.153846154	2.89153017373	200.0	186.0	199.153846154	2.89153017373	5178	413769
351.568017006	82	197.192307692	14.0384615385	200.0	127.0	197.192307692	14.0384615385	5127	418896
355.281260014	83	195.884615385	11.9109740061	200.0	144.0	195.884615385	11.9109740061	5093	423989
358.745888948	84	198.307692308	8.26377279627	200.0	157.0	198.307692308	8.26377279627	5156	429145
362.482702017	85	197.807692308	7.45767148012	200.0	171.0	197.807692308	7.45767148012	5143	434288
366.090431929	86	200.0	0.0	200.0	200.0	200.0	0.0	5200	439488
369.71331501	87	196.538461538	14.1373231315	200.0	128.0	196.538461538	14.1373231315	5110	444598
373.157339096	88	200.0	0.0	200.0	200.0	200.0	0.0	5200	449798
376.728240013	89	197.192307692	8.76188963975	200.0	162.0	197.192307692	8.76188963975	5127	454925
391.286735058	90	198.076923077	6.10751792039	200.0	171.0	198.076923077	6.10751792039	5150	460075
394.888942957	91	197.346153846	7.60031531579	200.0	172.0	197.346153846	7.60031531579	5131	465206
398.437423944	92	198.461538462	7.69230769231	200.0	160.0	198.461538462	7.69230769231	5160	470366
401.923614025	93	198.730769231	4.75198494808	200.0	177.0	198.730769231	4.75198494808	5167	475533
405.475505114	94	198.384615385	6.07059066368	200.0	169.0	198.384615385	6.07059066368	5158	480691
409.063328028	95	195.730769231	10.9739470927	200.0	156.0	195.730769231	10.9739470927	5089	485780
412.545499086	96	198.923076923	4.20551905626	200.0	179.0	198.923076923	4.20551905626	5172	490952
416.144449949	97	198.769230769	6.15384615385	200.0	168.0	198.769230769	6.15384615385	5168	496120
419.302391052	98	196.961538462	8.05023061892	200.0	167.0	196.961538462	8.05023061892	5121	501241
422.631988049	99	196.538461538	10.8316870241	200.0	149.0	196.538461538	10.8316870241	5110	506351
