Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
6.74114608765	0	19.8968253968	9.61548797355	60.0	9.0	19.8968253968	9.61548797355	5014	5014
8.89776802063	1	20.3279352227	11.6411314	92.0	8.0	20.3279352227	11.6411314	5021	10035
11.1077370644	2	18.9018867925	9.72866782104	80.0	8.0	18.9018867925	9.72866782104	5009	15044
13.3141140938	3	18.7677902622	8.89379765286	54.0	8.0	18.7677902622	8.89379765286	5011	20055
15.4469780922	4	17.7659574468	7.93156750525	50.0	8.0	17.7659574468	7.93156750525	5010	25065
17.7108609676	5	17.1126279863	7.46625703533	57.0	8.0	17.1126279863	7.46625703533	5014	30079
19.9275200367	6	18.0215827338	9.2362809996	79.0	8.0	18.0215827338	9.2362809996	5010	35089
21.9285800457	7	18.4723247232	8.37443448229	54.0	8.0	18.4723247232	8.37443448229	5006	40095
24.0962440968	8	18.9621212121	9.22521684317	71.0	9.0	18.9621212121	9.22521684317	5006	45101
26.0987830162	9	20.2419354839	9.85407314486	70.0	8.0	20.2419354839	9.85407314486	5020	50121
29.363173008	10	21.1906779661	10.9359497916	63.0	8.0	21.1906779661	10.9359497916	5001	55122
31.548345089	11	23.4929577465	12.4231420119	95.0	9.0	23.4929577465	12.4231420119	5004	60126
